상품명,스펙목록,가격
LG전자 오브제컬렉션 코드제로 A9S AX9984,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											스팀온수물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm											",1079100
LG전자 오브제컬렉션 코드제로 A9S AX9604,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											물걸레(별매) / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm											",754800
샤오미 미홀 M22,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											소비전력: 												320W / [구성] 거치대: 															거치 / 																											벽걸이거치 / 												브러쉬: 															바닥, 																											물걸레(별매) / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 충전시간: 												5시간 / 															분리형(1개) / 																											2600mAh / 												[청소] LED라이트 / 																											BLDC모터 / 																											먼지통: 												0.6L / [부가] 워셔블헤파필터 / 																											무게: 												1.5kg / 크기(가로x세로x깊이): 240x1040x204mm											",152150
삼성전자 비스포크 제트 VS20B956AX,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												220W / [구성] 거치대: 															청정스테이션, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											1.2L / 																											먼지비움시간: 																											14초 / 												브러쉬: 															바닥, 																											물걸레(별매) / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															분리형(1개) / 																											리튬이온 / 																											2200mAh / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											디지털인버터모터 / 																											먼지통: 												0.5L / [부가] 스마트폰제어 / 																											대화형알림창 / 																											디스플레이표시 / 																											배터리잔량표시 / 																											항균물통 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												산토리니베이지 / 2022년형 / 크기(가로x세로x깊이): 250x930x202mm											",439000
LG전자 오브제컬렉션 코드제로 A9 AS9202WD,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												210W / 															소비전력: 												590W / [구성] 거치대: 															거치 / 																											스탠드거치 / 												브러쉬: 															바닥, 																											물걸레(별매) / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											디스플레이표시 / 																											배터리잔량표시 / 																											헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.5kg / 2023년형 / 크기(가로x세로x깊이): 250x1120x260mm											",477370
,,
LG전자 오브제컬렉션 코드제로 A9S AX9988,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												280W / 															소비전력: 												677W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											스팀온수물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm											",1252080
LG전자 오브제컬렉션 코드제로 A9 AU9272WD,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												220W / 															소비전력: 												590W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											60초 / 												브러쉬: 															바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 디스플레이표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.5kg / 2023년형 / 크기(가로x세로x깊이): 250x1120x260mm											",679840
다이슨 V8,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												115AW / [구성] 거치대: 															거치 / 																											벽걸이거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3.5시간 / 															리튬이온 / 																											싸이클론흡입 / 												[부가] 먼지필터 / 																											무게: 												2.5kg / 크기(가로x세로x깊이): 221x1256x250mm											",340590
LG전자 오브제컬렉션 코드제로 A9 AS9272WD,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												220W / 															소비전력: 												590W / [구성] 거치대: 															충전, 																											거치 / 																											스탠드거치 / 												브러쉬: 															바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 디스플레이표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.5kg / 2023년형 / 크기(가로x세로x깊이): 250x1120x260mm											",523540
LG전자 오브제컬렉션 코드제로 A9S AX9674,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm											",851000
,,
삼성전자 비스포크 제트 AI VS25C970DW,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												250W / [구성] 거치대: 															청정스테이션, 																											먼지비움, 																											UVC LED, 																											싸이클론비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											1.2L / 																											먼지비움시간: 																											14초 / 												브러쉬: 															바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															분리형(1개) / 																											리튬이온 / 																											2200mAh / 																											25.2V / 												[청소] 싸이클론흡입 / 																											AI청소 / 																											LED라이트 / 																											물분사 / 																											먼지감지센서 / 																											디지털인버터모터 / 																											먼지통: 												0.5L / [부가] 스마트폰제어 / 																											대화형알림창 / 																											배터리잔량표시 / 																											항균물통 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												새틴그레이지 / 2023년형 / 크기(가로x세로x깊이): 250x942x243mm / 출시가: 1,290,900원											",738140
