카테고리,회사명,제품,가격,사용시간,흡입력
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AX9984,1079100.0,60.0,250.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AX9604,754800.0,60.0,250.0
핸디스틱청소기,샤오미,미홀 M22,152150.0,,
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956AX,439000.0,60.0,220.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AS9202WD,477370.0,60.0,210.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AX9988,1252080.0,60.0,280.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AU9272WD,679840.0,60.0,220.0
핸디스틱청소기,다이슨,V8,340590.0,60.0,115.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AS9272WD,523540.0,60.0,220.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AX9674,851000.0,60.0,250.0
핸디스틱청소기,삼성전자,비스포크 제트 AI VS25C970DW,738140.0,60.0,250.0
핸디스틱청소기,드리미,V11,178460.0,90.0,250.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9602WD,677030.0,60.0,220.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956D5,570320.0,60.0,220.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AX9884,1044880.0,60.0,250.0
핸디스틱청소기,다이슨,V12s 디텍트 슬림 서브마린 컴플리트 (골드/골드),1023600.0,60.0,140.0
핸디스틱청소기,삼성전자,파워스틱 VS02R6512JG,181990.0,,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AU9472WD,744790.0,60.0,220.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9 AU9202WD,633550.0,60.0,210.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AX9888,1172570.0,60.0,280.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AX9804,902090.0,60.0,250.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9672WD,755190.0,60.0,220.0
핸디스틱청소기,다이슨,V10 앱솔루트,475470.0,60.0,
핸디스틱청소기,드리미,V10,143297.0,60.0,220.0
핸디스틱청소기,다이슨,V15 오리진 컴플리트,649370.0,60.0,200.0
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91813,257990.0,60.0,
핸디스틱청소기,일렉트로룩스,WELL Q6 WQ61-1OGG,209410.0,45.0,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9872,899000.0,60.0,220.0
핸디스틱청소기,DIBEA,ALLNEW29000+,239000.0,50.0,400.0
핸디스틱청소기,LG전자,코드제로 A9 AT9100SA,549590.0,40.0,200.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AX9974WE,1286270.0,60.0,250.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AX9874,958890.0,60.0,250.0
핸디스틱청소기,삼성전자,비스포크 제트 AI VS28C973ES,1012330.0,80.0,280.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20B956BUE,537230.0,60.0,220.0
핸디스틱청소기,다이슨,디지털 슬림,441690.0,40.0,100.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956E3,510960.0,60.0,210.0
핸디스틱청소기,테팔,에어포스 라이트 TY6545KL,95200.0,30.0,
핸디스틱청소기,아이닉,i20 엘리트,158000.0,50.0,180.0
핸디스틱청소기,다이슨,싸이클론 V10 (레드/레드),438410.0,60.0,151.0
핸디스틱청소기,다이슨,V12 오리진 컴플리트,630910.0,60.0,130.0
핸디스틱청소기,다이슨,V11 앱솔루트,569490.0,60.0,185.0
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91825,376810.0,60.0,
핸디스틱청소기,아이닉,NEW i20 (23년형),198000.0,50.0,350.0
핸디스틱청소기,다이슨,V12 디텍트 슬림 컴플리트 (골드),840150.0,60.0,150.0
핸디스틱청소기,무궁화전자,바로바로 MC-B250,39910.0,20.0,60.0
핸디스틱청소기,아이닉,i30 아이타워,297560.0,50.0,350.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AU9882,839400.0,60.0,220.0
핸디스틱청소기,샤오미,디어마 VC03S,99900.0,40.0,150.0
핸디스틱청소기,다이슨,V15 디텍트 컴플리트,876330.0,60.0,240.0
핸디스틱청소기,다이슨,마이크로 1.5kg,445100.0,20.0,
핸디스틱청소기,샤오미,G10,180000.0,65.0,250.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957E3,589250.0,60.0,210.0
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91814WH,315500.0,60.0,
핸디스틱청소기,삼성전자,비스포크 제트 VS20B957D4,631130.0,60.0,220.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957D2,573130.0,60.0,210.0
핸디스틱청소기,다이슨,V12s 디텍트 슬림 서브마린 (옐로/니켈),971270.0,60.0,150.0
핸디스틱청소기,다이슨,V10 플러피 오리진,438990.0,60.0,151.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AT9201WC,689850.0,60.0,210.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AO9571,1002000.0,60.0,210.0
핸디스틱청소기,아이룸,윈드포스 F9,198000.0,40.0,420.0
핸디스틱청소기,LG전자,코드제로 A9 AT9170IA,721750.0,40.0,200.0
핸디스틱청소기,테팔,에어포스360 TY9079,380840.0,20.0,
핸디스틱청소기,샤오미,미지아 K10,164908.0,65.0,150.0
